data,tMin,tMed,tMax,precipitacao,Produto,Vendas
2018-08-06,,,,4,1,35
2018-08-06,,,,4,2,9
2018-08-06,,,,4,3,6
2018-08-06,,,,4,4,0
2018-08-06,,,,4,5,0
2018-08-06,,,,4,6,0
2018-08-06,,,,4,7,0
2018-08-06,,,,4,8,0
2018-08-13,10.125,14.125,18.125,0,1,101
2018-08-13,10.125,14.125,18.125,0,2,116
2018-08-13,10.125,14.125,18.125,0,3,59
2018-08-13,10.125,14.125,18.125,0,4,4
2018-08-13,10.125,14.125,18.125,0,5,3
2018-08-13,10.125,14.125,18.125,0,6,0
2018-08-13,10.125,14.125,18.125,0,7,0
2018-08-13,10.125,14.125,18.125,0,8,12
2018-08-20,11.375,24.625,26.5,0,1,125
2018-08-20,11.375,24.625,26.5,0,2,30
2018-08-20,11.375,24.625,26.5,0,3,82
2018-08-20,11.375,24.625,26.5,0,4,18
2018-08-20,11.375,24.625,26.5,0,5,24
2018-08-20,11.375,24.625,26.5,0,6,0
2018-08-20,11.375,24.625,26.5,0,7,2
2018-08-20,11.375,24.625,26.5,0,8,24
2018-08-27,13.0,17.25,21.25,0,1,82
2018-08-27,13.0,17.25,21.25,0,2,29
2018-08-27,13.0,17.25,21.25,0,3,60
2018-08-27,13.0,17.25,21.25,0,4,4
2018-08-27,13.0,17.25,21.25,0,5,4
2018-08-27,13.0,17.25,21.25,0,6,0
2018-08-27,13.0,17.25,21.25,0,7,10
2018-08-27,13.0,17.25,21.25,0,8,7
2018-09-03,13.0,18.5,24.0,0,1,197
2018-09-03,13.0,18.5,24.0,0,2,90
2018-09-03,13.0,18.5,24.0,0,3,21
2018-09-03,13.0,18.5,24.0,0,4,4
2018-09-03,13.0,18.5,24.0,0,5,7
2018-09-03,13.0,18.5,24.0,0,6,0
2018-09-03,13.0,18.5,24.0,0,7,0
2018-09-03,13.0,18.5,24.0,0,8,3
2018-09-10,10.75,15.375,20.125,0,1,113
2018-09-10,10.75,15.375,20.125,0,2,34
2018-09-10,10.75,15.375,20.125,0,3,72
2018-09-10,10.75,15.375,20.125,0,4,14
2018-09-10,10.75,15.375,20.125,0,5,19
2018-09-10,10.75,15.375,20.125,0,6,0
2018-09-10,10.75,15.375,20.125,0,7,10
2018-09-10,10.75,15.375,20.125,0,8,22
2018-09-17,12.875,16.25,19.875,14,1,151
2018-09-17,12.875,16.25,19.875,14,2,46
2018-09-17,12.875,16.25,19.875,14,3,66
2018-09-17,12.875,16.25,19.875,14,4,10
2018-09-17,12.875,16.25,19.875,14,5,13
2018-09-17,12.875,16.25,19.875,14,6,0
2018-09-17,12.875,16.25,19.875,14,7,0
2018-09-17,12.875,16.25,19.875,14,8,7
2018-09-24,15.125,19.875,24.75,0,1,115
2018-09-24,15.125,19.875,24.75,0,2,34
2018-09-24,15.125,19.875,24.75,0,3,38
2018-09-24,15.125,19.875,24.75,0,4,3
2018-09-24,15.125,19.875,24.75,0,5,1
2018-09-24,15.125,19.875,24.75,0,6,0
2018-09-24,15.125,19.875,24.75,0,7,20
2018-09-24,15.125,19.875,24.75,0,8,1
2018-10-01,16.625,20.75,25.0,1,1,92
2018-10-01,16.625,20.75,25.0,1,2,36
2018-10-01,16.625,20.75,25.0,1,3,53
2018-10-01,16.625,20.75,25.0,1,4,9
2018-10-01,16.625,20.75,25.0,1,5,17
2018-10-01,16.625,20.75,25.0,1,6,0
2018-10-01,16.625,20.75,25.0,1,7,0
2018-10-01,16.625,20.75,25.0,1,8,8
2018-10-08,15.375,18.5,21.625,14,1,208
2018-10-08,15.375,18.5,21.625,14,2,111
2018-10-08,15.375,18.5,21.625,14,3,49
2018-10-08,15.375,18.5,21.625,14,4,6
2018-10-08,15.375,18.5,21.625,14,5,5
2018-10-08,15.375,18.5,21.625,14,6,0
2018-10-08,15.375,18.5,21.625,14,7,0
2018-10-08,15.375,18.5,21.625,14,8,3
2018-10-15,15.875,19.125,22.75,8,1,91
2018-10-15,15.875,19.125,22.75,8,2,18
2018-10-15,15.875,19.125,22.75,8,3,20
